Title	URL	Assignees	Status	Estimated size	Real size	Labels
Use metrics to compare 1b, 3b, 7b and maybe 14b models	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/197		Product Backlog			IMPORTANT
Research and Run first project on HPC	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/195		Product Backlog			
Acquire English-Dataset for LLM	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/194		Product Backlog			
Acquire UnitTest-Dataset for LLM	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/209		Product Backlog			
Acquire Python-Dataset for LLM	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/210		Product Backlog			
Use HPC to run training script	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/211		Product Backlog			
Research: should we change our embbeding	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/208		Product Backlog			
Fixing lm_eval_runner Model Alignment	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/169		Product Backlog			
Use HPC to train our own LLM	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/196		Product Backlog			
Module: Detect Edgecase accuracy of LLM research	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/175		Product Backlog			
Module: Code Complexity: Complexity Measurement Tool (CMT)	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/73		Product Backlog	3		
Module: Code Complexity: CM	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/76		Product Backlog			
Module(LLM performance): look at generated "Equivalence partitioning" classes	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/109		Product Backlog			
Module: Flaky Test Identifier: Detect and flag non-deterministic/generated tests	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/173		Product Backlog			
Module: Add security analyzer module for generated code	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/110		Product Backlog			
Refactor: clean repo	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/131		Product Backlog			
Module: Spell checker	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/78		Product Backlog			
Refactor: Json in Frontend	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/129		Product Backlog			
Refactor: Json in API	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/130		Product Backlog			
