Title	URL	Assignees	Status
Pünktlich zum Meeting und bei Fehlen vor dem Meeting abmelden	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/126		In Progress
Auf breaking Changes explizit in PR hhinweisen	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/185		In Progress
Items die lange liegen bleiben, andere Devs fragen ob unterstützung möglich ist	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/186		In Progress
In Discord über Erreichbarkeiten informieren	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/187		In Progress
High-Prio TIckets mit Tag markieren (damit dies auch im Sprint noch sichtbar ist)	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/184		Done
mehr Kommunikation zwischen Devs über ihre Arbeit (knowledge sharing)	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/124		Done
Zu Pull Review Request kurze Beschreibung hinzufügen (in Discord)	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/150		Done
Hausaufgaben checkup (z.B. Dienstag Nachmittag)	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/125		Done
Pull-Requests sollen von allen dev revied werden	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/83		Done
Pull-Request sind teilweise liegen geblieben	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/105		Done
AMOS Entwicklerprozess besprechen	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/51		Done
Github Handbung besprechen	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/32		Done
Clarify the happines index	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/28		Done
Abstimmung über die Architektur	https://github.com/amosproj/amos2025ss04-ai-driven-testing/issues/33		Done
